GeneID,Module_EM,kME_EM,is_hub_EM,Symbol,Description
100287102,18,-0.33982556930038943,False,DDX11L1,DEAD/H-box helicase 11 like 1 (pseudogene)
653635,1,0.8597764583863204,True,WASH7P,"WASP family homolog 7, pseudogene"
102466751,1,0.847565968741676,True,MIR6859-1,microRNA 6859-1
100996442,1,0.7004621243691653,True,LOC100996442,WAS protein family homolog 2-like
729737,1,0.5698934492088381,False,LOC729737,uncharacterized LOC729737
102725121,13,-0.23244090753488025,False,DDX11L17,DEAD/H-box helicase 11 like 17 (pseudogene)
102723897,1,0.8749285368502461,True,WASH9P,"WAS protein family homolog 9, pseudogene"
102465909,1,0.874565454169327,True,MIR6859-2,microRNA 6859-2
100132287,1,0.5891336160483617,False,LOC100132287,uncharacterized LOC100132287
113219467,1,0.4563172972539522,False,MIR12136,microRNA 12136
100133331,1,0.617005163103288,False,LOC100133331,replaced by ID 100288069
107984841,1,0.6674416225019958,False,LOC107984841,replaced by ID 100288069
107984847,1,0.6112822524221216,False,LOC107984847,replaced by ID 100288069
107984849,1,0.5877785807948704,False,LOC107984849,replaced by ID 100288069
100288069,1,0.7321674242217715,True,LOC100288069,uncharacterized LOC100288069
79854,1,0.8896265009399448,True,LINC00115,long intergenic non-protein coding RNA 115
643837,1,0.9091763669811084,True,LINC01128,long intergenic non-protein coding RNA 1128
148398,1,0.7791160546828028,True,SAMD11,sterile alpha motif domain containing 11
26155,1,0.913124715746045,True,NOC2L,NOC2 like nucleolar associated transcriptional repressor
339451,1,0.9215093746165816,True,KLHL17,kelch like family member 17
57801,1,0.5161412920924948,False,HES4,hes family bHLH transcription factor 4
9636,2,-0.9287597457671305,True,ISG15,ISG15 ubiquitin like modifier
375790,1,0.714220305271188,True,AGRN,agrin
54991,1,0.8759320605385567,True,C1orf159,chromosome 1 open reading frame 159
8784,1,0.5080170423506234,False,TNFRSF18,TNF receptor superfamily member 18
7293,1,0.6596895402741795,False,TNFRSF4,TNF receptor superfamily member 4
51150,1,0.9418857078996119,True,SDF4,stromal cell derived factor 4
126792,1,0.8685967563782635,True,B3GALT6,"beta-1,3-galactosyltransferase 6"
118424,1,0.9546842512579325,True,UBE2J2,ubiquitin conjugating enzyme E2 J2
101928895,1,0.8293749871114314,True,LINC01786,long intergenic non-protein coding RNA 1786
6339,1,0.7641404157245717,True,SCNN1D,sodium channel epithelial 1 subunit delta
116983,1,0.8842034800769936,True,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
109623456,1,0.8952623014447019,True,SNORD167,"small nucleolar RNA, C/D box 167"
126789,1,0.8692420298023921,True,PUSL1,pseudouridine synthase like 1
54973,1,0.9158067195264586,True,INTS11,integrator complex subunit 11
102465435,1,0.7605039602535365,True,MIR6727,microRNA 6727
80772,1,0.8318177703797573,True,CPTP,ceramide-1-phosphate transfer protein
1855,1,0.9001221349956795,True,DVL1,dishevelled segment polarity protein 1
54587,1,0.7507839370720486,True,MXRA8,matrix remodeling associated 8
